date,AANGBULD,AHMDUILJ,ANWUJOKX,APQGTRMF,ATLDMDBO,AXULOHBQ,BEZYMBBT,BJALXPFS,BLANHGYY,BSRMSVTC,BTMOEMEP,BUZIIBYG,CCLHWFWF,DBWLZWNK,DDEXPPXU,DEWLVASR,DJBLNPNC,DNMPSKTB,DUCMGGNW,ELQGMQWE,EVBVXETX,FCYBOAXC,FDXPMYGF,FITUEHWN,FQCLOEXA,FRHNWLNI,FTSVTTSR,FWUCPMMW,GIKPEWTY,GKQIJYDH,GMBFCMIU,GYHKIVQT,HCDTGMST,HXYSSRXE,IGDVVKUD,JBVHSUWY,JERHKLYW,JPBRUTWP,JSLXRQOK,KAGJCHMR,KEUWZRKO,KFQSHBNH,KJNSOAHR,LLHREMKS,LPHPPJUG,LRVGFDFM,LSOIUSXD,LTOYKIML,LUENUFGA,MBSBZBXA,MIRCVAMV,NAQIHUKZ,NZKBIBNU,OGAFEHLU,OJIFIHMZ,OKMBFVKS,OXKURKXR,PLMZALFA,PYZMVUWD,QJQJSWFU,QKXNTIIB,QRKRBYJL,QSDCUCLB,QVLMOEYE,RAWUKQMJ,RCBZUSIM,RJCAXSGH,RJGPVEXX,ROACSLMG,RUVXNNVA,SAAYMURU,SAHWCZNH,SDWAYPIK,SNHYOVBM,STZDBITS,SUOYXCHP,TANNMIMB,TGOELCAG,UGEQLMXM,UIFPPCLR,UQYUIVVR,UXSPKBJR,VBYCLTYZ,VMAQSTJE,VUAFAIYJ,VWMBASNE,WBLJNPZQ,WHPUAOID,WPQXWHYO,WQMVCOEM,XIFHSOWQ,XIIEJNEE,XIPPENFQ,XMKRPGLB,XUOIQPFL,YSYHGLQK,ZCELVYQU,ZGJXVMNI,ZKENOUDA,ZXERAXWP
2022-01-01,-16087.004366976296,32269.219225126,,-80456.13061287528,-1650790.9036995918,1864.2629726284358,-103116.80035682023,31974.213725043985,,-675505.8103344147,2785253.814500794,620855.8293971568,-3984489.078716684,-148134.66406862717,971.0857203515588,-2807.3506410515693,,326584.9508341849,-299074.8772249208,2804.0390832365374,9101.315467189066,-641925.2123661935,416.00165908687813,13878.477834024707,-93001.08309638151,272374.723739106,46920.61726765544,-942.6848691923133,,-3179970.957312893,,1020251.0989909768,,-573473.3423048798,-8119.193195771353,149389.89898991777,1782.8257940565286,-387482.7983324826,,-4037.2973033414646,323680.11818928865,,2379823.4010205455,27061.740932476037,5910.404838950839,5108113.133326478,-21082.924008756672,9966.821600552648,1524566.1557832444,343167.5316100656,62452.61027054039,-475.0858389743521,-8616.346178724838,1748256.931312631,-1053605.194048759,118475.17285236344,-12929.842263182596,,,-9270.508756174182,-88135.46508219116,-1044955.0008856189,,-205847.99100797437,86145.38034724258,-2019.3462404158818,,-22237.460162023082,-82353.08040230768,,11570.12090244368,229151.12138884777,1506282.018977452,315873.1744002948,-4562650.01173646,6598.855534602102,,,-42072.95407595631,-48211.44935979607,577406.0357814594,116339.89448626037,-26325.796097269864,50394.645301074124,-9849.729403900623,40282.116787227686,25315.92998358747,11427.793279667356,-421160.2447311785,-21711.312301049416,175247.9349492319,,-2197.480276393617,12476.1574088817,716956.8273679921,,158301.31563484384,-281006.64100672305,10238.775962760039,-400.2559728692868
2022-02-01,-6517.182343848115,-12714.10363215016,,10541.79267837631,-7131383.990939081,-9242.377491457126,71597.88625873625,29148.428575405473,-7184.264839428681,176645.8190917361,-873665.7877262011,-787228.3304242976,1223617.2273553312,-30200.36999247549,-2062.130567143078,34822.083089032414,,134368.39823422208,124390.38561435882,-8030.846576207376,-150332.37869255338,3357511.967903435,-245.8225824435467,4379.610417034128,-36123.60278878384,176879.2514065958,-4262.249430521973,244.69419292654993,,-1703461.3096241727,,-4576979.690792799,-34020.59869138794,151755.9870293429,,-270867.41135411244,-91.9486498622764,96824.9127472369,-6655.887681837063,,-114440.53217322467,,647812.8618115857,-20756.630120519956,18891.127739794087,1556420.438061677,-1815.3714390003006,20175.313983233704,1277250.4421579181,-668656.6782439654,819.522264145071,-69.52114249709484,-47562.81910788623,-2386470.54253799,-191138.10495338123,15294.90553623112,-20426.70797891839,,-4852.183504216955,34268.43439535619,-182827.32052583853,-929272.7568019219,-5.684341886080802e-14,-445971.84459820855,-448560.07983558346,-2661.1273425291984,,-85750.19025933382,70796.0051721069,,-1305.1982970305435,97749.14146584709,886599.0325838067,-288477.1697616179,5165335.716355272,4520.262637103297,,,23411.994547744165,75079.9894972468,206356.480790589,162809.11770979874,-81744.43197507248,-9981.60435616228,-9599.032965355436,119218.87340800266,-49688.11469041975,8134.816699422736,-1150033.6114238761,-19660.135203664046,165259.15113076605,-101670.73970944068,-13553.845289567282,-178550.92716110707,293605.9745712206,-454.94747377836393,-141250.09848728127,-91678.67499288125,7180.69974790161,-1487.420019356844
2022-03-01,-4651.381812097905,-2958.831795760547,,-52551.11227527255,-8643446.063106522,-4160.091143990343,-221631.43867148273,45929.48211195474,,249535.64165200613,-1703998.7430803254,-283402.26369822025,448380.9785521589,114384.35503999412,949.3407948085114,-15379.779093115372,-786.3113696006913,-677605.6445975434,-404959.5649942248,624.5319096120656,-25682.530294124037,690453.6208686233,,-51376.774981351904,287904.78110521124,-294849.4120308943,-13370.7506102341,-1240.6030085298516,,2492890.653793182,,-776820.9593123794,-6046.214728931409,-582792.2579026986,21860.16249186101,41628.0282746813,3789.0104787226514,336542.76902380865,-6586.932140438974,7004.314666865046,-20533.45010060981,,816802.482637546,638.5527286858705,25025.77553242352,-9317617.163589232,11302.586804132705,10900.233237007633,1010045.3758505876,-496361.8781302697,,62.319635580372506,3975.1347397291684,-659381.8924072469,1079262.340354159,-139918.39743666258,20437.672877853038,,-2609.3764138844745,-37729.29384778319,100159.63232889445,15939.315194290131,5.684341886080802e-14,-313288.96909610415,-106105.02643914148,-3213.5651160984453,,63519.8122259439,-84665.57353474293,,-2507.579071182081,27852.15752837388,-405706.9075374082,-280401.2927811707,1595732.3421709612,4072.7483824166993,,,91661.81098556021,20660.29377969331,-1011596.999894422,-196810.0604080481,18463.693306087167,-112282.29338397214,66.13702332426328,125564.48736938625,-13676.62061232276,-47404.83196112095,-558588.1744142286,-23152.429508739384,48048.032536059254,367093.86185161595,12303.617836492864,371713.52513356274,-316100.1999236103,571.0420533538463,-183437.21476301222,2689.3397377964575,-54851.75161866578,1012.2329100828192
2022-04-01,,2836.741075824102,0.0,11366.405287761474,7791515.6096162945,16648.83846568942,11619.229001739062,-10590.451045761234,,76235.80507893028,2715941.187721081,-354374.20276336,1468811.0219691433,203787.18774239998,-2864.2265907545407,-34298.67575160261,-1003.3695743315066,988105.968420526,533481.7111626028,-44928.066142197116,-253263.71588788182,1533779.0968733132,-2168.3082793874273,209.06277270391,-9458.932290765457,163922.87295152945,-34139.93473168794,,,4984628.387384264,,163100.26192899793,226.61665993941278,-341937.001500817,-4708.621190047903,212344.56631781976,-2698.4204596985633,5462.803119295277,-6972.31575147647,,-545552.7306514909,,-688144.8533884119,7321.614050316435,135895.78938157135,7317936.0855446085,25818.08337172208,6656.125352616131,1844616.8578026916,-122103.37982582906,,62.1324624768713,-35500.43439556236,918429.1206153734,-80533.56988489022,-124051.21991264401,-1633.1434286893927,,-6937.036776750294,20259.61865688319,233668.29041910544,50130.905781108886,,62054.0377778518,-580554.1560314363,-6550.466772688429,,-31470.982448675262,27433.966791320592,,442.34546407901144,-253205.6662482299,-1774385.3702861331,-56183.20546384092,574252.1663305499,1512.0275518086273,,,-18245.20047057353,-7808.689530812553,-578310.5982267391,-63925.7163473058,41789.01975884824,39637.54497019856,-18318.9367933413,109630.98321798374,10085.61347706063,8177.190392398697,648265.1408427283,-43915.284094684204,26816.007231695578,,26565.954149920668,-96410.21001289331,-235465.99562011845,564.9715526721291,92998.42960020731,235022.7790591044,8500.585582214793,-2964.030417711214
2022-05-01,47568.13571804756,-11486.85250162959,1.4551915228366852e-11,46733.067778132914,5386691.32484892,-3861.4042071738804,-59351.42307548225,-42170.7956392162,-579.7028569467293,27274.47762209375,-2452663.35471249,1122140.4208622463,621431.3959628418,86908.4518769685,7443.421486771942,17342.63826708132,,-144000.6140377242,-48214.526190725155,49118.45405885461,76593.2064786544,-118490.56468780339,139.73127318423394,22750.86060028008,-120126.94908415293,-214470.61009664647,-19423.747802263577,-1325.5826579855493,,3385655.8625558764,0.0,3068309.8535150588,-3636.1185989099613,13236.134186017327,-6335.662408225551,-60689.0704317459,-8044.937234569392,-759438.6456962917,6809.554074570453,6324.9015007317885,213299.247609701,,-3582916.142778077,-6771.19400923793,-126199.45521992096,5226811.3451073915,-63909.63810226644,-56676.7708727039,-4017724.6413478786,1042051.437167875,-86164.88051684966,61.986683779705345,46832.84367866261,457262.15373639716,453825.8065485819,115151.1322786347,32791.970075598714,,8003.590487956044,-14037.49347510672,631279.4296189442,1426212.5833926946,,727044.4130198215,201312.77199334837,3479.571040824987,,53002.711862693424,177907.30416186806,,-16987.693887278117,-6098.281006820267,-1007149.9593661521,-40627.365654287045,1851964.70824977,27255.271004109687,,42455.39550952299,-13591.869789034012,46077.835667704814,-737124.8958285111,181610.65373872733,157380.18357494043,45145.25929773197,31062.907000067644,100056.39096565172,20051.21096642682,-8506.698505584456,219876.72216083668,37636.54737330531,-63656.2756249042,-64455.019812646846,6099.48193838766,-96431.95956857712,-177778.44630605076,445.8897171532328,65436.80655773956,40817.59482118976,-3132.1221243494438,2555.4142214615003
2022-06-01,-12852.538544787192,-18928.763758559377,0.0,55913.07006065955,-4768604.295107007,-19838.479208706573,566578.0891654547,-88168.07187800895,-478.18345790285093,67884.270794696,-2107075.6058026887,-497452.36653446406,-1403482.284546718,-146487.16978044366,2324.4301442475844,27369.333527355804,,-833322.2768273149,-180087.06348819123,48218.503983047034,515602.85596571025,-1832927.5808513463,-314.26616930760974,4933.772378210488,115488.18902436574,-295589.4631390034,11746.611098506255,-1369.042629147273,,-1508367.821238961,,-2596082.260056041,,444022.02637531236,,-40492.59172260307,2240.169077300252,505365.2778467331,-6782.014940829162,-8484.020261539414,388825.79390196403,,82088.14517929405,-3766.4615312180395,5545.84796201624,-3091967.386077091,26252.783353193372,-43849.15769201622,-1454667.1009090254,-686898.6896066833,,61.88022784937584,30008.973585949978,10873.502770398278,394844.78015199676,-36564.85544462921,2999.9059055799444,,943.4995733971082,14275.22745815519,-581894.4833954084,2133829.2334135324,,124655.21713417582,143181.1509095123,10044.144603811092,,-44872.81038607011,57070.659978819545,,6605.321453791421,-243836.9549416313,2972769.988351306,611109.6155848958,-10516052.928329011,-1061.022242504725,,-65910.91520579753,-43925.21830885307,-141069.55575249065,222514.42170746299,-96923.95197611186,1156.0627951384522,12621.997982209374,-36566.865583227074,-33768.77330393216,22720.26578258956,11556.137490980393,-343064.4559804201,12549.357031132473,-349089.8547297055,-90014.59085826701,48218.62337927215,456706.31338675227,-160324.96917048004,-1727.7153559451995,-4796.885241449258,97282.81027230574,5662.40605276834,-1702.5016585050507
2022-07-01,,35333.804804910586,0.0,41023.37523414253,16936104.455104455,-46648.252143553254,60871.06403859053,20877.554098464083,-1922.5354502534028,119976.71108371881,3231678.711960301,349530.7028618194,1573159.3813979365,-120183.40994621976,-16126.134455564295,-44536.10297528305,,83905.95990473032,261993.80162811512,-31199.556147648487,-2712.831154885702,-3893376.5948557258,-2344.524506601123,5716.68844804672,-36692.286749343155,65352.13176794676,-40089.872887453326,,,-3371438.4525125995,,6479857.871877596,30057.008936517217,178721.94453822915,12654.41700928194,-166019.57171871047,2356.026533481013,324005.24932197854,27214.5226572262,5588.649889437169,-15466.329782660701,,2905.097150848247,-4359.296184910119,-49569.76139128627,-1994404.7773447298,23470.45491238794,-36521.17901706201,1296612.5432978505,918161.3757634279,-19641.548366268125,61.78778337397216,-4968.050713424105,10451.746186259203,-862571.0965712522,14451.256061527412,-7551.842068055237,,960.4519975414951,19197.432053296623,-628550.5185254449,-331815.962734852,,476976.23331864784,376957.52959014196,3962.9757588270622,,37800.076786226535,-8233.468231472187,-1.4210854715202004e-14,-7509.364513176053,406191.9616599339,-715550.2438194826,-264501.803487889,3743673.0717095025,-99638.18335916291,,57173.5762100899,-11388.456313479139,37302.94974966883,1166356.509134423,84383.013168409,6989.612337139202,2134.362901408749,-27721.09533367172,-230126.05612408277,51559.18933081033,2671.0474993657117,762507.9455125462,42833.415402651124,-143766.00307919504,,14437.06961208176,-444953.8692659929,523763.3209749637,609.1279837759334,-9077.2815359651,283680.3451559993,6413.967519670216,2668.573726884162
2022-08-01,,3335.3278219675412,,-12127.97354632907,3775297.3099267185,-7223.682202629512,-103057.85115684103,-34790.5214213412,12705.122875858346,-382395.81503426406,4426044.247109659,628814.5711597428,381822.908388637,-36473.761628606706,4784.602547007897,11677.454192515404,3251.272288281969,-349333.7239335738,97074.5571643638,57648.901512652636,20209.93637972232,-4049107.9841445386,-2819.432609104364,6679.79311061959,42791.81899958989,-129484.23848328437,-6401.385086293099,6151.072262212852,,-409195.8965728972,,-3432741.595511757,,827307.415444972,-2155.573173961122,174211.56214816892,-809.7363149439034,202714.205617805,2838.7995899114576,-3582.006706475613,-225133.27485260618,,704703.7332585463,7632.686055806,-19149.486087510013,1252736.7858358473,6021.850976238813,40994.37663945573,-3425392.6785237966,784844.0544144418,-81564.61535018806,61.68870277062342,20583.897269082547,,237657.12444225,88562.7858059667,-12656.491343743051,,,25255.271572649013,-105214.28702621744,2114.381874298677,,76795.92900674185,241999.51401042193,-90.95694381023714,,46982.63814970746,-137728.54949827818,,10689.98128679554,-337558.7916460659,-170976.80987420492,19436.011241498985,6393951.439351033,-4144.402341250665,3.410605131648481e-13,,-1715.5203708012996,24026.294170987967,-359259.40859166905,-189955.28503596934,-10663.024041791563,-44170.40957949021,-61737.10499345593,-382721.10516220867,-2305.356986220053,8530.176828215655,1077642.0702526774,26995.859444766655,31443.26672335899,,-26666.83868917641,-170344.08631858556,-23043.696621606126,-482.7598906221408,,-264116.21820263984,9853.964153267414,303.7627849854871
2022-09-01,,-14201.551886529953,,-21516.50605951529,-1093232.4560924768,34216.55160406919,-75306.59877480753,-11434.510431634902,-556.1798192361239,146243.68313731253,-1134118.3269639984,89976.09444928542,191112.58526974544,-37097.824238427216,2676.0558375400724,27425.922090256325,-232.03341760156354,52109.067940395325,39367.72824738547,-37325.08158916887,40594.15716261603,2983009.5766928494,,-4047.1620260414347,-126768.01363887009,399598.03997080703,-67312.07474861926,-228.14007545175218,,-7513698.836543959,,-2086857.1054597422,3535.8745931147423,156879.485050885,-9314.49638196863,-12408.158874872024,939.146306563809,-512082.0228101127,-3116.662022673825,17480.757278132984,-97995.67102065904,,-309577.50710165035,-6983.176229553435,11526.012165334658,-3628303.9964049906,-10762.997801038437,41357.50939356763,1133453.5844413163,-1020853.9533063332,60295.35604706126,,-2023.8440554924891,10347.21516710613,195266.52752001444,26234.600517236628,2105.084408333205,,,-76841.8198928494,198568.28433342162,-1052268.436256485,,-172922.6049086745,6289.701217323542,2173.1550243765487,,-9072.079633430636,-12296.954932180699,,5466.237926735372,-400216.5782636795,-1470721.1462482326,159971.79254478915,-1416910.904775057,35991.32036038321,,-21124.478179853817,17512.958269172028,-5229.093925992842,454549.6173838349,-54157.59698958148,-27586.63177326368,8921.545608412038,80947.98206524877,-259599.59927133349,-5253.05395488278,22323.815801668206,397231.52553744614,47389.75488957018,34750.261109239305,-17934.80092838616,-47336.391250719826,279466.10711204214,-24952.701567281038,,48940.17805273816,214190.66402336955,22175.361390505685,232.14375519841087
2022-10-01,,-10999.365975478548,0.0,72936.00679117115,-1258473.3220327199,45124.24994068011,91821.7837330047,50820.5249657768,-560.8311810710147,95170.3359859651,-4440903.783404782,-941438.0716183092,622402.1616413109,86501.72145894507,710.3418281437989,,-230.81846036345905,-456797.66494547203,-180284.39121553395,-34520.31270870508,-20627.547066221945,2272749.891902983,-936.5139290781826,-3903.1746764883137,-63289.620543119265,-62537.645387562225,234525.04633434402,-232.48960807288313,,3220021.1105079986,,657078.7795976698,,-147146.922024264,-3241.4242813174897,138702.73396153003,-821.5046963149052,115688.46894880198,-6245.189096614464,-7366.4113127887695,-171749.24187679583,,192464.258927105,-15404.974072773737,-48876.16329432849,-5522711.687950067,17738.578470400214,41425.830486737075,386057.929646777,-445448.61288939044,,,3746.8206355366274,10493.766343766823,-470359.63276858674,-73927.42187066935,-3269.1788908317103,,977.1682856564366,-738.4970835747372,289871.89623220847,-541466.4403396854,,-136509.79867974948,297852.3016919093,-7703.473636452916,,17815.931496445264,-16888.582726474386,,1988.550669335349,-88488.35945059359,-679097.6584832426,-121815.0442125441,-581592.101776652,25667.963044673248,,-1674.1684089811752,-4824.618178343604,786.1038541421294,-24157.34140275931,211746.57471189974,-63171.78272659518,-180.2452394933789,76513.42885673203,86473.1896000118,-124123.44790058292,-11603.66388298037,867249.3540751226,-34382.156794682174,-37309.04205657588,,-88575.43066892738,-347994.27281651716,-893417.6724806968,-28.222983063285483,-61063.16585652399,-181001.89727025782,-7201.495658756583,509.12355607504287
